"id";"item_id";"item_name";"item_quantity";"bodega_destino";"solicitante";"fecha_solicitud";"asisitente";"fecha_aprobacion";"estado"
2;2670;"compota con tapa 231 cc ";250;"producto_av";"";"2021-02-11 18:03:01";"";"";"solicitud"
3;1;"Carolina Herrera,  Herrera for men by";12;"producto_av";"";"2021-02-11 18:15:57";"";"";"solicitud"
4;10;"Animale, animale for men by";12;"producto_av";"";"2021-02-11 18:16:52";"";"";"solicitud"
5;3745;"lechera con tapa de 370 cc";20;"producto_av";"";"2021-02-11 18:17:22";"";"";"solicitud"
